timestamp,frame_id,visitor_id,position_x,position_y,heading_angle,area_id,dwell_time,is_cluster,event_type
2026-02-07T00:42:44.029269Z,1,1,896.0869140625,611.4989013671875,,区域4,0.04,False,ENTER
2026-02-07T00:42:44.029269Z,1,2,1018.5564575195312,691.8983154296875,,,0.0,False,STAY
2026-02-07T00:42:44.029269Z,1,3,1156.67822265625,605.6028442382812,,区域4,0.04,False,ENTER
2026-02-07T00:42:44.307214Z,2,1,894.6541137695312,612.4698486328125,145.87619174187364,区域4,0.08,False,OVERTIME
2026-02-07T00:42:44.307214Z,2,2,1019.4564819335938,690.961669921875,313.8577391626943,,0.0,False,STAY
2026-02-07T00:42:44.307214Z,2,3,1157.474365234375,605.4227294921875,347.2523227156252,区域4,0.08,False,OVERTIME
2026-02-07T00:42:44.383300Z,3,1,892.9325561523438,612.9854736328125,163.32647702220882,区域4,0.12,False,OVERTIME
2026-02-07T00:42:44.383300Z,3,2,1019.7433471679688,690.7823486328125,327.9902338675025,,0.0,False,STAY
2026-02-07T00:42:44.383300Z,3,3,1157.8251953125,605.6243896484375,29.890660859897835,区域4,0.12,False,OVERTIME
2026-02-07T00:42:44.461518Z,4,1,888.7225952148438,613.525146484375,172.69512056237065,区域4,0.16,False,OVERTIME
2026-02-07T00:42:44.461518Z,4,2,1021.1053466796875,692.9369506835938,57.70158387145869,,0.0,False,STAY
2026-02-07T00:42:44.461518Z,4,3,1158.399658203125,605.7596435546875,13.24866295412327,区域4,0.16,False,OVERTIME
2026-02-07T00:42:44.537260Z,5,1,886.2047119140625,615.355224609375,143.98914657883392,区域4,0.2,False,OVERTIME
2026-02-07T00:42:44.537260Z,5,2,1022.3372802734375,692.745849609375,351.18239239812885,,0.0,False,STAY
2026-02-07T00:42:44.537260Z,5,3,1158.7353515625,606.0872802734375,44.30413406049121,区域4,0.2,False,OVERTIME
2026-02-07T00:42:44.599484Z,6,1,883.6184692382812,617.2216796875,144.18254432394718,区域4,0.24,False,OVERTIME
2026-02-07T00:42:44.599484Z,6,2,1023.36669921875,694.469482421875,59.15274793206727,,0.0,False,STAY
2026-02-07T00:42:44.599484Z,6,3,1158.904052734375,607.77685546875,84.29801401713527,区域4,0.24,False,OVERTIME
2026-02-07T00:42:44.676702Z,7,1,882.2007446289062,618.980224609375,128.87547759032978,区域4,0.28,False,OVERTIME
2026-02-07T00:42:44.676702Z,7,2,1024.8431396484375,696.3017578125,51.13826708495782,,0.0,False,STAY
2026-02-07T00:42:44.676702Z,7,3,1159.2647705078125,609.8392944335938,80.07938942904006,区域4,0.28,False,OVERTIME
2026-02-07T00:42:44.756714Z,8,1,881.930908203125,619.5946655273438,113.7090467387794,区域4,0.32,False,OVERTIME
2026-02-07T00:42:44.756714Z,8,2,1027.8673095703125,698.3695068359375,34.362017717636355,,0.0,False,STAY
2026-02-07T00:42:44.756714Z,8,3,1159.365478515625,611.8800048828125,87.17477484488076,区域4,0.32,False,OVERTIME
2026-02-07T00:42:44.831964Z,9,1,881.2385864257812,620.7320556640625,121.32859532763268,区域4,0.36,False,OVERTIME
2026-02-07T00:42:44.831964Z,9,2,1028.6260986328125,700.6549072265625,71.6330176689383,,0.0,False,STAY
2026-02-07T00:42:44.831964Z,9,3,1159.345458984375,613.8866577148438,90.57159692838539,区域4,0.36,False,OVERTIME
2026-02-07T00:42:44.909869Z,10,1,880.8792724609375,621.4214477539062,117.52870923436122,区域4,0.4,False,OVERTIME
2026-02-07T00:42:44.909869Z,10,2,1030.01806640625,702.4993896484375,52.95939413734254,,0.0,False,STAY
2026-02-07T00:42:44.909869Z,10,3,1159.365234375,614.5465087890625,88.28338935039075,区域4,0.4,False,OVERTIME
2026-02-07T00:42:44.987245Z,11,1,881.4464721679688,621.8284912109375,35.66461851615999,区域4,0.44,False,OVERTIME
2026-02-07T00:42:44.987245Z,11,2,1030.739990234375,702.6931762695312,15.025744775366896,,0.0,False,STAY
2026-02-07T00:42:44.987245Z,11,3,1159.0804443359375,615.8168334960938,102.63602830141514,区域4,0.44,False,OVERTIME
2026-02-07T00:42:45.064939Z,12,1,882.275390625,623.1928100585938,58.71841271621695,区域4,0.48,False,OVERTIME
2026-02-07T00:42:45.064939Z,12,2,1031.4512939453125,703.6691284179688,53.91429233467348,,0.0,False,STAY
2026-02-07T00:42:45.064939Z,12,3,1159.092041015625,616.17041015625,88.12147469073739,区域4,0.48,False,OVERTIME
2026-02-07T00:42:45.144302Z,13,1,884.08544921875,626.8935546875,63.9364382806973,区域4,0.52,False,OVERTIME
2026-02-07T00:42:45.144302Z,13,2,1030.2584228515625,705.571533203125,122.08908036472681,,0.0,False,STAY
2026-02-07T00:42:45.144302Z,13,3,1159.3941650390625,617.3551025390625,75.69320092093955,区域4,0.52,False,OVERTIME
2026-02-07T00:42:45.144302Z,13,5,949.26513671875,502.54705810546875,,区域4,0.04,False,ENTER
2026-02-07T00:42:45.222101Z,14,1,882.8969116210938,629.48974609375,114.59832817791526,区域4,0.56,False,OVERTIME
2026-02-07T00:42:45.222101Z,14,2,1029.798828125,707.2080688476562,105.68654353047128,,0.0,False,STAY
2026-02-07T00:42:45.222101Z,14,3,1159.7109375,618.4844970703125,74.33225966146027,区域4,0.56,False,OVERTIME
2026-02-07T00:42:45.222101Z,14,5,951.7532958984375,504.0506286621094,31.144163265863,区域4,0.08,False,OVERTIME
2026-02-07T00:42:45.222101Z,14,6,952.0521240234375,539.750244140625,,区域4,0.04,False,ENTER
